Species	Family	Order	Class	Body.mass	Flying	Diet	Method.category.mass	Method.category.flying	Method.category.diet	Surrogate.used.mass	Surrogate.name.mass	Surrogate.name.diet	Diet.by.whom	Source.bodymass	Source.flying	Source.diet
Gallotia goliath	Lacertidae	Squamata	Reptilia	3199	0	2	Calculation	Morphology	Literature	0			Hansen	"Pérez-Méndez, N., Jordano, P., & Valido, A. (2015). Downsized mutualisms: Consequences of seed dispersers’ body-size reduction for early plant recruitment. Perspectives in Plant Ecology, Evolution and Systematics, 17(2), 151-159.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. The American Naturalist, 115(1), 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	19
Gallotia gomerana	Lacertidae	Squamata	Reptilia	110.85	0	2	Calculation	Morphology	Literature	0			Hansen	"Nogales, M., Rando, J. C., Valido, A., & Martín, A. (2001). Discovery of a living giant lizard, genus Gallotia (Reptilia: Lacertidae), from La Gomera, Canary Islands. Herpetologica, 169-179.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. The American Naturalist, 115(1), 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	19
Gallotia simonyi	Lacertidae	Squamata	Reptilia	295.1	0	2	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	19
Gehyra oceanica	Gekkonidae	Squamata	Reptilia	7.9	0	1	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	14, 16
Gehyra vorax	Gekkonidae	Squamata	Reptilia	41.78	0	2	Calculation	Morphology	Literature	0			Hansen	"Zug, George R. Reptiles and amphibians of the Pacific Islands: a comprehensive guide. Univ of California Press, 2013; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. (2010). Length–weight allometries in lizards. Journal of Zoology, 281(3), 218-226.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	14, 16
GenusNov1. sp.A	Columbidae	Columbiformes	Aves	349.9673913	1	2	Genus mean, decided by Heinen	Genus mean	Genus mean	1	"Genus mean ""Columba"""	"Genus ""Columba"""	Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	"Genus ""Columbidae"""	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
GenusNov1. sp.B	Columbidae	Columbiformes	Aves	349.9673913	1	2	Genus mean, decided by Heinen	Genus mean	Genus mean	1	"Genus mean ""Columba"""	"Genus ""Columba"""	Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	"Genus ""Columbidae"""	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Geoffroyus heteroclitus	Psittacidae	Psittaciformes	Aves	170	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Geospiza fortis	Emberizidae	Passeriformes	Aves	24	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Geospiza fuliginosa	Emberizidae	Passeriformes	Aves	14.5	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Geospiza magnirostris	Emberizidae	Passeriformes	Aves	34.5	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Geospiza scandens	Emberizidae	Passeriformes	Aves	22.7	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Gongylomorphus bojeri	Scincidae	Squamata	Reptilia	3.647	0	1	Calculation	Morphology	Estimate	0			Hansen	"Greer, A. E. (1970). The systematics and evolution of the subsaharan Africa, Seychelles, and Mauritius scincine scincid lizards. Harvard University.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. The American Naturalist, 115(1), 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	Estimate by Dennis Hansen
Gymnophaps solomonensis	Columbidae	Columbiformes	Aves	335	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Henicophaps foersteri	Columbidae	Columbiformes	Aves	247	1	3	Surrogate	Morphology	Database	1	Henicophaps albifrons		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Hoplodactylus duvaucelii	Gekkonidae	Squamata	Reptilia	118	0	2	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	13
Hypsilurus godeffroyi	Agamidae	Squamata	Reptilia	154.72	0	2	Calculation	Morphology	Estimate	0			Hansen	"Zug, George R. Reptiles and amphibians of the Pacific Islands: a comprehensive guide. Univ of California Press, 2013; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. (2010). Length–weight allometries in lizards. Journal of Zoology, 281(3), 218-226."	Various images	Estimate by Dennis Hansen
Hypsipetes borbonicus	Pycnonotidae	Passeriformes	Aves	55.3	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Hypsipetes madagascariensis	Pycnonotidae	Passeriformes	Aves	46.025	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Hypsipetes olivaceus	Pycnonotidae	Passeriformes	Aves	75	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Hypsipetes parvirostris	Pycnonotidae	Passeriformes	Aves	59.5	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Hypsipetes seychellensis	Pycnonotidae	Passeriformes	Aves	79.5	1	3	Surrogate	Morphology	Genus mean	1	Hypsipetes crassirostris		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Hypsipetes sp.	Pycnonotidae	Passeriformes	Aves	75	1	3	Surrogate	Morphology	Genus mean	1	Hypsipetes olivaceus		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Indet sp	Columbidae	Columbiformes	Aves	349.9673913	1	2	Genus mean, decided by Heinen	Genus mean	Genus mean	1	"Genus mean ""Columba"""	"Genus ""Columba"""	Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	"Genus ""Columbidae"""	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Lalage leucomela	Campephagidae	Passeriformes	Aves	29.4	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Lalage leucopyga	Sturnidae	Passeriformes	Aves	24.3	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Lalage maculosa	Campephagidae	Passeriformes	Aves	30.3	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Lamprolepis smaragdina	Scincidae	Squamata	Reptilia	41.02	0	2	Calculation	Morphology	Literature	0			Hansen	"Zug, George R. Reptiles and amphibians of the Pacific Islands: a comprehensive guide. Univ of California Press, 2013; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. (2010). Length–weight allometries in lizards. Journal of Zoology, 281(3), 218-226."	Various images	5
Larus cachinnans	Laridae	Charadriiformes	Aves	1117.25	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Larus michahellis	Laridae	Charadriiformes	Aves	867	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Leiolopisma ceciliae	Scincidae	Squamata	Reptilia	758.97	0	2	Estimate + surrogate + calculation	Morphology	Literature	1	Leiolopisma mauritiana, Leiolopisma telfairii		Hansen	"Arnold & Bour, 2008 : A new Nactus gecko (Gekkonidae) and a new LePough, F. H. (1980). The advantages of ectothermy for tetrapods. The American Naturalist, 115(1), 92-112.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	2, 3, 4
Leiolopisma mauritiana	Scincidae	Squamata	Reptilia	1349.62	0	2	Estimate + calculation	Morphology	Literature	0			Hansen	"Arnold, E. N. (1980). Recently extinct reptile populations from Mauritius and Reunion, Indian Ocean. Journal of Zoology, 191(1), 33-47.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	2, 3, 4
Leiolopisma telfairii	Scincidae	Squamata	Reptilia	168.31	0	2	Estimate + calculation	Morphology	Literature	0			Hansen	"Arnold, E. N. (1980). Recently extinct reptile populations from Mauritius and Reunion, Indian Ocean. Journal of Zoology, 191(1), 33-47.; Pough, F. H. (1980). The advantages of ectothermy for tetrapods. American Naturalist, 92-112.; Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	2, 3, 4
Lepidodactylus lugubris	Gekkonidae	Squamata	Reptilia	1.4	0	1	Database	Morphology	Literature	0			Hansen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	14
Lophopsittacus mauritianus	Psittacidae	Psittaciformes	Aves	1697	1	1	Surrogate + Estimate	Literature	Estimate	1	Strigops habroptila		Heinen	Collar, N. & Sharpe, C.J. (2017). Kakapo (Strigops habroptila). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/54484 on 10 February 2016).	Hume, J. P., & Walters, M. (2012). Extinct birds. A&C Black.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Loriculus tener	Psittacidae	Psittaciformes	Aves	12	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Lorius chlorocercus	Psittacidae	Psittaciformes	Aves	174	1	1	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Lorius hypoinochrous	Psittacidae	Psittaciformes	Aves	187	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Mabuya comorensis	Scincidae	Squamata	Reptilia	46.71	0	2	Surrogate	Morphology	Estimate	1	Trachylepis striata		Hansen	Meiri, S. (2010). Length–weight allometries in lizards. Journal of Zoology, 281(3), 218-226.	Various images	Estimate by Dennis Hansen
Macroglossus minimus	Pteropodidae	Chiroptera	Mammalia	16.36766667	1	2	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Macropygia amboinensis	Columbidae	Columbiformes	Aves	237	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Macropygia mackinlayi	Columbidae	Columbiformes	Aves	86	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Macropygia nigrirostris	Columbidae	Columbiformes	Aves	90.1	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Mascarinus mascarinus	Psittacidae	Psittaciformes	Aves	525	1	1	Surrogate	Morphology	Database	1	Coracopsis vasa		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Megapodius alimentum	Megapodiidae	Galliformes	Aves	630.40625	1	1	Genus mean, decided by Heinen	Morphology	Genus mean	1	"Genus mean ""Megapodius"""		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Megapodius eremita	Megapodiidae	Galliformes	Aves	677.5	1	2	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Megapodius layardi	Megapodiidae	Galliformes	Aves	630.40625	1	1	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Megapodius"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Megapodius molistructor	Megapodiidae	Galliformes	Aves	630.40625	1	1	Genus mean, decided by Heinen	Morphology	Genus mean	1	"Genus mean ""Megapodius"""		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Megapodius pritchardii	Megapodiidae	Galliformes	Aves	365	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Megapodius sp	Megapodiidae	Galliformes	Aves	630.40625	1	1	Genus mean, decided by Heinen	Literature	Genus mean	1	"Genus mean ""Megapodius"""		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W. (2006). Extinction and biogeography of tropical Pacific birds. University of Chicago Press.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Megapodius sp.B	Megapodiidae	Galliformes	Aves	630.40625	1	1	Genus mean, decided by Heinen	Literature	Genus mean	1	"Genus mean ""Megapodius"""		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W. (2006). Extinction and biogeography of tropical Pacific birds. University of Chicago Press.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Megapodius sp.C	Megapodiidae	Galliformes	Aves	630.40625	1	1	Genus mean, decided by Heinen	Literature	Genus mean	1	"Genus mean ""Megapodius"""		Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Steadman, D. W. (2006). Extinction and biogeography of tropical Pacific birds. University of Chicago Press.	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Meiolania damelipi	Meiolaniidae	Testudines	Reptilia	250000	0	3	Estimate	Morphology	Estimate	0			Heinen	"White, Arthur W., et al. ""Megafaunal meiolaniid horned turtles survived until early human settlement in Vanuatu, Southwest Pacific."" Proceedings of the National Academy of Sciences 107.35 (2010): 15512-15516.; Hansen, Dennis M., et al. ""Ecological history and latent conservation potential: large and giant tortoises as a model for taxon substitutions."" Ecography 33.2 (2010): 272-284.; Ernst, C.H., Barbour, R.W., 1989. Turtles of the World. Smithsonian Institution Press, Washington, DC."	Various images	21, 22, 23, 24
Melomys bougainville	Muridae	Rodentia	Mammalia	86	0	1	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Melomys spechti	Muridae	Rodentia	Mammalia	225	0	1	Estimate	Morphology	Estimate	0			Heinen	Flannery, T. F., & Wickler, S. (1990). Quaternary murids (Rodentia: Muridae) from Buka Island, Papua New Guinea, with descriptions of two new species. Australian Mammalogy, 13, 127-139.	Various images	"Flannery, T. F., & Wickler, S. (1990). Quaternary murids (Rodentia: Muridae) from Buka Island, Papua New Guinea, with descriptions of two new species. Australian Mammalogy, 13, 127-139.; Lavery, T. H., Olds, A. D., Seddon, J. M., & Leung, L. K. P. (2016). The mammals of northern Melanesia: speciation, ecology, and biogeography. Mammal Review, 46(1), 60-76.; Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122."
Melonycteris fardoulisi	Pteropodidae	Chiroptera	Mammalia	48.125	1	3	Literature	Morphology	Database	0			Kissling	Flannery, T.F. 1995. Mammals of the South-West Pacific & Moluccan Islands. Chatswood, New South Wales: Reed Books, 464 pp.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Melonycteris melanops	Pteropodidae	Chiroptera	Mammalia	49.042	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Melonycteris woodfordi	Pteropodidae	Chiroptera	Mammalia	29.22	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Microgoura meeki	Columbidae	Columbiformes	Aves	349.9673913	1	3	Genus mean, decided by pe-existing database	Morphology	Database	1	"Genus mean ""Microgoura"""		Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Microlophus albemarlensis	Tropiduridae	Squamata	Reptilia	43.7	0	2	Database	Morphology	Estimate	0			Heinen	"Meiri, S. ""Length–weight allometries in lizards."" Journal of Zoology 281.3 (2010): 218-226."	Various images	Estimate by Julia Heinen
Microlophus bivittatus	Tropiduridae	Squamata	Reptilia	24.98	0	2	Surrogate	Morphology	Estimate	1	Microlophus albemarlensis		Heinen	Meiri, S. (2010). Length–weight allometries in lizards. Journal of Zoology, 281(3), 218-226.	Various images	Estimate by Julia Heinen
Microlophus pacificus	Tropiduridae	Squamata	Reptilia	24.99	0	2	Surrogate	Morphology	Estimate	1	Microlophus albemarlensis		Heinen	Meiri, S. (2010). Length–weight allometries in lizards. Journal of Zoology, 281(3), 218-226.	Various images	Estimate by Julia Heinen
Microscelis amaurotis	Pycnonotidae	Passeriformes	Aves	75	1	2	Surrogate	Morphology	Literature	1	Hypsipetes olivaceus		Heinen	Fishpool, L. & Tobias, J. (2016). Brown-eared Bulbul (Microscelis amaurotis). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/58035 on 10 February 2016)	Various images	Moyle, R. G., & Marks, B. D. (2006). Phylogenetic relationships of the bulbuls (Aves: Pycnonotidae) based on mitochondrial and nuclear DNA sequence data. Molecular Phylogenetics and Evolution, 40(3), 687-695.
Mimus graysoni	Mimidae	Passeriformes	Aves	65.55	1	1	Database	Morphology	Estimate	0			Heinen	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Mino dumontii	Sturnidae	Passeriformes	Aves	203.5	1	3	Database	Morphology	Database	0			Kissling	Dunning, J. B. (2008) Handbook of avian body masses. CRC Press, Boca Raton.	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
Mirimiri acrodonta	Pteropodidae	Chiroptera	Mammalia	250.5	1	3	Database	Morphology	Database	0			Kissling	Sandom, C., Dalby, L., Fløjgaard, C., Kissling, W. D., Lenoir, J., Sandel, B., Trøjelsgaard, K., Ejrnæs, R. & Svenning, J.-C. (2013) Mammal predator and prey species richness are strongly linked at macroscales. Ecology, 94, 1112-1122.	Various images	Kissling, W. D., Dalby, L., Fløjgaard, C., Lenoir, J., Sandel, B., Sandom, C., Trøjelsgaard, K. & Svenning, J.-C. (2014) Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution, 4, 2913–2930.
Moho apicalis	Mohoidae	Passeriformes	Aves	106.35	1	1	Surrogate	Morphology	Estimate	1	Anthochaera carunculata		Heinen	"Higgins, P., Christidis, L. & Ford, H. (2016). Red Wattlebird (Anthochaera carunculata). In: del Hoyo, J., Elliott, A., Sargatal, J., Christie, D.A. & de Juana, E. (eds.). Handbook of the Birds of the World Alive. Lynx Edicions, Barcelona. (retrieved from http://www.hbw.com/node/60325 on 12 February 2016); Fleischer, R. C., James, H. F., & Olson, S. L. (2008). Convergent evolution of Hawaiian and Australo-Pacific honeyeaters from distant songbird ancestors. Current Biology, 18(24), 1927-1931."	Various images	Kissling, W. D., Böhning-Gaese, K. & Jetz, W. (2009) The global distribution of frugivory in birds. Global Ecology and Biogeography, 18, 150-162.
